iter,iter_best_reward,iter_best_wn,iter_best_wp,policy_mean_wn,policy_mean_wp,policy_std_wn,policy_std_wp,global_best_reward,global_best_wn,global_best_wp
1,-1.0323253966763228,0.5751833915710449,1.0,0.5439795255661011,0.9142080545425415,0.08560317754745483,0.07036036252975464,-1.0323253966763228,0.5751833915710449,1.0
2,-1.0093147682955832,0.6499999761581421,0.9793002605438232,0.5828015208244324,0.9624794125556946,0.05454722046852112,0.029670462012290955,-1.0093147682955832,0.6499999761581421,0.9793002605438232
3,-1.0206488871089159,0.6179431080818176,1.0,0.6000590324401855,0.9792079925537109,0.042641058564186096,0.01756468042731285,-1.0093147682955832,0.6499999761581421,0.9793002605438232
4,-1.0000823908534218,0.6499999761581421,0.9977982640266418,0.621837854385376,0.9884520769119263,0.025585681200027466,0.010113723576068878,-1.0000823908534218,0.6499999761581421,0.9977982640266418
5,-0.9999999999997096,0.6499999761581421,1.0,0.6410817503929138,0.9889719486236572,0.008570649661123753,0.007651892025023699,-0.9999999999997096,0.6499999761581421,1.0
6,-1.0017381152000848,0.649238646030426,1.0,0.6460250020027161,0.9913610219955444,0.003937484230846167,0.006242529489099979,-0.9999999999997096,0.6499999761581421,1.0
7,-0.9999999999997096,0.6499999761581421,1.0,0.6486444473266602,0.9944103956222534,0.001441103988327086,0.005161700304597616,-0.9999999999997096,0.6499999761581421,1.0
8,-0.9999999999997096,0.6499999761581421,1.0,0.649495005607605,0.9956634044647217,0.0005987375043332577,0.003786382731050253,-0.9999999999997096,0.6499999761581421,1.0
9,-1.000322554704629,0.6499999761581421,0.9960469007492065,0.649814784526825,0.9951278567314148,0.00022987820557318628,0.0020332038402557373,-0.9999999999997096,0.6499999761581421,1.0
10,-1.0000022843869387,0.6499999761581421,0.9991362690925598,0.6499223709106445,0.9964684247970581,0.00010411094990558922,0.001783135812729597,-0.9999999999997096,0.6499999761581421,1.0
11,-0.999998123369606,0.6499999761581421,0.9993616938591003,0.6499539613723755,0.9980013370513916,5.922739364905283e-05,0.0012602773495018482,-0.999998123369606,0.6499999761581421,0.9993616938591003
12,-0.9999965923962165,0.6499999761581421,0.9997097253799438,0.6499786376953125,0.9990267753601074,2.9014023311901838e-05,0.0007374431006610394,-0.9999965923962165,0.6499999761581421,0.9997097253799438
13,-0.9999962879727157,0.6499999761581421,0.9995768070220947,0.649993360042572,0.9993855953216553,9.767942174221389e-06,0.00043569039553403854,-0.9999962879727157,0.6499999761581421,0.9995768070220947
14,-0.999995935124618,0.6499999761581421,0.999633252620697,0.6499977111816406,0.999559760093689,4.144358172197826e-06,0.00031115650199353695,-0.999995935124618,0.6499999761581421,0.999633252620697
15,-0.9999959785489397,0.6499996781349182,0.9996289610862732,0.6499992609024048,0.9995622634887695,2.0140528249612544e-06,0.00021717855997849256,-0.999995935124618,0.6499999761581421,0.999633252620697
